chr,beta,id,snp
1,0.0290187,met-d-M_LDL_C_pct,rs2642438
1,-0.148066,met-d-M_LDL_C_pct,rs11591147
1,-0.0331005,met-d-M_LDL_C_pct,rs3768321
1,0.033256,met-d-M_LDL_C_pct,rs660240
1,0.0332406,met-d-M_LDL_C_pct,rs2281721
2,-0.040131,met-d-M_LDL_C_pct,rs589566
2,-0.0279895,met-d-M_LDL_C_pct,rs4245791
2,-0.0268288,met-d-M_LDL_C_pct,rs2396315
4,-0.0455146,met-d-M_LDL_C_pct,rs13107325
5,0.0333138,met-d-M_LDL_C_pct,rs4703667
6,-0.0515774,met-d-M_LDL_C_pct,rs11751347
7,-0.0262666,met-d-M_LDL_C_pct,rs10271770
7,0.0385805,met-d-M_LDL_C_pct,rs17145750
8,0.0617567,met-d-M_LDL_C_pct,rs9987289
8,0.0430568,met-d-M_LDL_C_pct,rs15285
8,0.029511,met-d-M_LDL_C_pct,rs2980867
9,0.0475474,met-d-M_LDL_C_pct,rs2519093
10,0.0230727,met-d-M_LDL_C_pct,rs10740134
11,-0.117814,met-d-M_LDL_C_pct,rs144018203
11,-0.101085,met-d-M_LDL_C_pct,rs102275
11,0.0789047,met-d-M_LDL_C_pct,rs964184
12,0.0238262,met-d-M_LDL_C_pct,rs4766578
15,-0.152309,met-d-M_LDL_C_pct,rs45617141
15,-0.112186,met-d-M_LDL_C_pct,rs76450027
15,0.090525,met-d-M_LDL_C_pct,rs2043085
15,-0.124376,met-d-M_LDL_C_pct,rs1077835
15,0.0874892,met-d-M_LDL_C_pct,rs34095861
16,0.0385055,met-d-M_LDL_C_pct,rs73594581
16,0.0343579,met-d-M_LDL_C_pct,rs11645958
18,0.138356,met-d-M_LDL_C_pct,rs77960347
18,0.0400341,met-d-M_LDL_C_pct,rs4939883
19,-0.0342847,met-d-M_LDL_C_pct,rs751858
19,-0.0690582,met-d-M_LDL_C_pct,rs77265569
19,-0.249518,met-d-M_LDL_C_pct,rs1065853
19,-0.0849776,met-d-M_LDL_C_pct,rs144439590
19,0.0346667,met-d-M_LDL_C_pct,rs103294
20,-0.0674869,met-d-M_LDL_C_pct,rs116847251
20,-0.0533017,met-d-M_LDL_C_pct,rs6073958
20,0.033233,met-d-M_LDL_C_pct,rs4814176
