chr,beta,id,snp
1,-0.0714739,met-d-S_LDL_C_pct,rs182050989
1,-0.161458,met-d-S_LDL_C_pct,rs11591147
1,0.0300395,met-d-S_LDL_C_pct,rs602633
1,-0.0339571,met-d-S_LDL_C_pct,rs3768321
1,0.0275013,met-d-S_LDL_C_pct,rs7534572
2,0.0326613,met-d-S_LDL_C_pct,rs934197
2,-0.031879,met-d-S_LDL_C_pct,rs6544713
2,-0.0274497,met-d-S_LDL_C_pct,rs1047891
4,0.0244663,met-d-S_LDL_C_pct,rs59950280
5,0.0305329,met-d-S_LDL_C_pct,rs10056811
6,0.0479973,met-d-S_LDL_C_pct,rs281862010
7,-0.0276681,met-d-S_LDL_C_pct,rs217386
8,0.0637384,met-d-S_LDL_C_pct,rs1461729
8,0.0375091,met-d-S_LDL_C_pct,rs35617716
8,0.032278,met-d-S_LDL_C_pct,rs13252202
9,-0.0346284,met-d-S_LDL_C_pct,rs686030
9,0.0759564,met-d-S_LDL_C_pct,rs2519093
10,0.0298943,met-d-S_LDL_C_pct,rs10822145
11,-0.0512325,met-d-S_LDL_C_pct,rs28811614
11,0.0574197,met-d-S_LDL_C_pct,rs76970536
12,0.0355563,met-d-S_LDL_C_pct,rs3892410
14,-0.0312385,met-d-S_LDL_C_pct,rs61983884
15,-0.106332,met-d-S_LDL_C_pct,rs150844304
15,0.0237705,met-d-S_LDL_C_pct,rs77732800
15,0.0697559,met-d-S_LDL_C_pct,rs2043085
15,-0.103338,met-d-S_LDL_C_pct,rs1077835
16,-0.0980236,met-d-S_LDL_C_pct,rs12446515
17,-0.0277993,met-d-S_LDL_C_pct,rs72837682
18,0.154119,met-d-S_LDL_C_pct,rs77960347
18,0.0439273,met-d-S_LDL_C_pct,rs4939883
19,-0.0710017,met-d-S_LDL_C_pct,rs12151108
19,0.0343355,met-d-S_LDL_C_pct,rs416867
19,-0.133173,met-d-S_LDL_C_pct,rs1065853
19,-0.067213,met-d-S_LDL_C_pct,rs58542926
20,0.0238844,met-d-S_LDL_C_pct,rs438568
20,0.0852972,met-d-S_LDL_C_pct,rs6065908
