chr,beta,id,snp
1,0.0549473,met-d-S_LDL_PL_pct,rs7554873
1,-0.0921451,met-d-S_LDL_PL_pct,rs1168032
1,-0.0355739,met-d-S_LDL_PL_pct,rs7551124
2,0.0697107,met-d-S_LDL_PL_pct,rs676210
2,0.0234521,met-d-S_LDL_PL_pct,rs870526
2,0.083449,met-d-S_LDL_PL_pct,rs1260326
2,0.0339451,met-d-S_LDL_PL_pct,rs13389219
4,0.0376706,met-d-S_LDL_PL_pct,rs13108218
4,-0.0282343,met-d-S_LDL_PL_pct,rs34182956
5,0.0340523,met-d-S_LDL_PL_pct,rs11429307
6,0.252572,met-d-S_LDL_PL_pct,rs117733303
6,0.14985,met-d-S_LDL_PL_pct,rs10455872
6,-0.0569119,met-d-S_LDL_PL_pct,rs12212146
6,-0.0308688,met-d-S_LDL_PL_pct,rs28383314
6,-0.0273672,met-d-S_LDL_PL_pct,rs28752924
7,0.0899937,met-d-S_LDL_PL_pct,rs34060476
7,0.0220044,met-d-S_LDL_PL_pct,rs217386
8,0.0699058,met-d-S_LDL_PL_pct,rs28601761
8,0.0345237,met-d-S_LDL_PL_pct,rs1561748
8,-0.0307647,met-d-S_LDL_PL_pct,rs10085931
8,0.120572,met-d-S_LDL_PL_pct,rs328
8,-0.0401491,met-d-S_LDL_PL_pct,rs693109
9,0.0302859,met-d-S_LDL_PL_pct,rs2740488
9,-0.0458693,met-d-S_LDL_PL_pct,rs635634
10,0.0251573,met-d-S_LDL_PL_pct,rs2478236
11,0.197858,met-d-S_LDL_PL_pct,rs1047964
11,-0.0402418,met-d-S_LDL_PL_pct,rs151224429
11,0.178625,met-d-S_LDL_PL_pct,rs964184
11,-0.0626381,met-d-S_LDL_PL_pct,rs174553
11,-0.160125,met-d-S_LDL_PL_pct,rs141469619
12,-0.0431718,met-d-S_LDL_PL_pct,rs2272303
14,0.0312561,met-d-S_LDL_PL_pct,rs61983884
15,0.03421,met-d-S_LDL_PL_pct,rs12591786
15,-0.0259257,met-d-S_LDL_PL_pct,rs2414577
16,0.0986371,met-d-S_LDL_PL_pct,rs12446515
17,0.074681,met-d-S_LDL_PL_pct,rs1801689
17,-0.0506467,met-d-S_LDL_PL_pct,rs8078513
17,-0.0651617,met-d-S_LDL_PL_pct,rs72836561
18,-0.0566076,met-d-S_LDL_PL_pct,rs1540037
18,-0.211219,met-d-S_LDL_PL_pct,rs149615216
19,0.153636,met-d-S_LDL_PL_pct,rs116843064
19,-0.317136,met-d-S_LDL_PL_pct,rs1065853
19,-0.0294166,met-d-S_LDL_PL_pct,rs11878597
19,-0.0750241,met-d-S_LDL_PL_pct,rs144439590
19,0.0963472,met-d-S_LDL_PL_pct,rs58542926
19,-0.0367288,met-d-S_LDL_PL_pct,rs56290633
19,0.130139,met-d-S_LDL_PL_pct,rs150057262
20,-0.0859391,met-d-S_LDL_PL_pct,rs74698119
20,-0.108618,met-d-S_LDL_PL_pct,rs6065908
22,0.0283854,met-d-S_LDL_PL_pct,rs2294915
